uuid,product_id,transaction_id,original_transaction_id,renewal_number,revenue_usd_corrected
c41fa73e-522b-4b0f-a84b-fc051ff44673,weekly.2.49,0061869a-7249-4a97-8d1e-55ef80d05d18,0061869a-7249-4a97-8d1e-55ef80d05d18,0,0
c41fa73e-522b-4b0f-a84b-fc051ff44673,weekly.2.49,02990ae1-96cb-439e-a2c9-eeaf2f7b5928,0061869a-7249-4a97-8d1e-55ef80d05d18,1,249
c41fa73e-522b-4b0f-a84b-fc051ff44673,weekly.2.49,320e1f72-0d03-4e0e-aaef-58cedcfe8639,0061869a-7249-4a97-8d1e-55ef80d05d18,2,0
6539bf17-46dc-438a-9841-6c97a76e7fa4,weekly.2.49,01b8ecac-8274-48ea-bb53-caa632a86877,01b8ecac-8274-48ea-bb53-caa632a86877,0,0
6539bf17-46dc-438a-9841-6c97a76e7fa4,weekly.2.49,a5e01644-d63c-4b73-ab00-f1ec93b6ae30,01b8ecac-8274-48ea-bb53-caa632a86877,1,0
97c122b4-87ea-4bad-900a-f31f584b33b7,weekly.4.99.3d.trial,0368576f-1717-4655-b0b7-b8bbf33633f6,0368576f-1717-4655-b0b7-b8bbf33633f6,0,0
97c122b4-87ea-4bad-900a-f31f584b33b7,weekly.4.99.3d.trial,b50cf88a-fad5-42c1-a419-ef9f0dfaa9a2,0368576f-1717-4655-b0b7-b8bbf33633f6,1,0
e42ea7d1-aedf-42cf-9cae-d2de51381bee,weekly.2.49,084cbbb9-1c9b-45d0-99f2-6aacff753489,084cbbb9-1c9b-45d0-99f2-6aacff753489,0,0
e42ea7d1-aedf-42cf-9cae-d2de51381bee,weekly.2.49,0a12ed9d-7257-4e76-b85f-241a5caaa715,084cbbb9-1c9b-45d0-99f2-6aacff753489,1,0
5951e449-931f-4179-86d5-a650235a9773,weekly.4.99.3d.trial,0e2d3180-b859-4d11-a22d-fccdef590f74,0e2d3180-b859-4d11-a22d-fccdef590f74,0,0
5951e449-931f-4179-86d5-a650235a9773,weekly.4.99.3d.trial,0318d1e5-f283-4654-a6bc-6f65f14b4b48,0e2d3180-b859-4d11-a22d-fccdef590f74,1,0
f309c509-6349-4294-aef0-2c892ce9291c,weekly.2.49,0f294e62-fd6b-48a7-b1cb-c7b09573ebc1,0f294e62-fd6b-48a7-b1cb-c7b09573ebc1,0,0
f309c509-6349-4294-aef0-2c892ce9291c,weekly.2.49,07e7d222-fd48-4948-b834-83b2bffeb9bd,0f294e62-fd6b-48a7-b1cb-c7b09573ebc1,1,249
f309c509-6349-4294-aef0-2c892ce9291c,weekly.2.49,1c7f1911-5ad7-40a6-90bb-e09d4fec3cf3,0f294e62-fd6b-48a7-b1cb-c7b09573ebc1,2,249
f309c509-6349-4294-aef0-2c892ce9291c,weekly.2.49,1779d380-971b-4399-bbcf-8631aeb76d9e,0f294e62-fd6b-48a7-b1cb-c7b09573ebc1,3,249
8df2920a-b1d2-4453-b655-7683fa9386a8,weekly.4.99.3d.trial,0fd33eeb-aacd-4bfb-8715-4ac7d3ddbf37,0fd33eeb-aacd-4bfb-8715-4ac7d3ddbf37,0,0
8b6339d2-a4e0-4e43-8070-bb6ac4775f0a,weekly.2.49,10edb6e3-0557-4d10-abef-b377c24288d7,10edb6e3-0557-4d10-abef-b377c24288d7,0,0
8b6339d2-a4e0-4e43-8070-bb6ac4775f0a,weekly.2.49,179a0913-9340-4abb-8385-b133c060feb9,10edb6e3-0557-4d10-abef-b377c24288d7,1,0
efe71bb4-8851-4793-9408-aab9cbbf2efd,weekly.4.99.3d.trial,12c7f315-b344-440d-b247-f78398ae6428,12c7f315-b344-440d-b247-f78398ae6428,0,0
efe71bb4-8851-4793-9408-aab9cbbf2efd,weekly.4.99.3d.trial,26189400-e7b1-4808-837b-b4a9e5e9f22c,12c7f315-b344-440d-b247-f78398ae6428,1,0
ef97d85c-1847-41c0-a337-8696f2215b3a,monthly.7.49,1e2eea11-b26b-4a7f-9ac4-57fc7c1e69d2,1e2eea11-b26b-4a7f-9ac4-57fc7c1e69d2,0,0
4b1b3b38-57b0-401b-ae79-62e7601c29f7,weekly.2.49,1fbe05e8-9d6d-470a-898a-5ff6b6413f2a,1fbe05e8-9d6d-470a-898a-5ff6b6413f2a,0,0
4b1b3b38-57b0-401b-ae79-62e7601c29f7,weekly.2.49,c40954aa-ec7f-4dc5-9bb7-298407279601,1fbe05e8-9d6d-470a-898a-5ff6b6413f2a,1,249
4b1b3b38-57b0-401b-ae79-62e7601c29f7,weekly.2.49,f108c431-994f-44d8-9b2b-0670918b0b9f,1fbe05e8-9d6d-470a-898a-5ff6b6413f2a,2,249
4b1b3b38-57b0-401b-ae79-62e7601c29f7,weekly.2.49,81938144-c9b6-4153-9bd3-c2377889ff99,1fbe05e8-9d6d-470a-898a-5ff6b6413f2a,3,249
4b1b3b38-57b0-401b-ae79-62e7601c29f7,weekly.2.49,f8376790-d7fc-4062-a483-a8a3776d3d90,1fbe05e8-9d6d-470a-898a-5ff6b6413f2a,4,249
4b1b3b38-57b0-401b-ae79-62e7601c29f7,weekly.2.49,abd0388d-c094-4573-8ce7-2b357c90578e,1fbe05e8-9d6d-470a-898a-5ff6b6413f2a,5,249
4b1b3b38-57b0-401b-ae79-62e7601c29f7,weekly.2.49,e700ca25-d4dd-48bc-8a22-2dee443eea9c,1fbe05e8-9d6d-470a-898a-5ff6b6413f2a,6,249
4b1b3b38-57b0-401b-ae79-62e7601c29f7,weekly.2.49,0a14ce83-f7fe-4fa3-8dd1-ad1034e916b6,1fbe05e8-9d6d-470a-898a-5ff6b6413f2a,7,249
4b1b3b38-57b0-401b-ae79-62e7601c29f7,weekly.2.49,297b8b16-db7d-4435-87a9-6e33fc543a77,1fbe05e8-9d6d-470a-898a-5ff6b6413f2a,8,249
4b1b3b38-57b0-401b-ae79-62e7601c29f7,weekly.2.49,29783518-f1e9-4f77-a9b6-dbfaf5625c98,1fbe05e8-9d6d-470a-898a-5ff6b6413f2a,9,0
017bcd33-6df9-4979-ac34-4b6e90500959,weekly.4.99.3d.trial,2680ec68-dcb5-4f79-889b-a3c93b459c38,2680ec68-dcb5-4f79-889b-a3c93b459c38,0,0
017bcd33-6df9-4979-ac34-4b6e90500959,weekly.4.99.3d.trial,1a10de8c-c7c1-4e19-a229-40d50a9a866a,2680ec68-dcb5-4f79-889b-a3c93b459c38,1,0
f15e1094-96d7-49d6-8605-a8ba0e0aef56,weekly.2.49,27d652a2-c63a-4407-a773-265c55ca6f1d,27d652a2-c63a-4407-a773-265c55ca6f1d,0,0
f15e1094-96d7-49d6-8605-a8ba0e0aef56,weekly.2.49,71ca77c7-181e-48d8-af01-6ef744c68b7e,27d652a2-c63a-4407-a773-265c55ca6f1d,1,0
ff9a70ec-9962-4378-9fab-011780499257,weekly.2.49,29704519-3f17-4993-8fe2-0cf31177759f,29704519-3f17-4993-8fe2-0cf31177759f,0,0
ff9a70ec-9962-4378-9fab-011780499257,weekly.2.49,6ef6b8cc-1c83-4257-acee-72d8be9beed4,29704519-3f17-4993-8fe2-0cf31177759f,1,249
ff9a70ec-9962-4378-9fab-011780499257,weekly.2.49,6873d1b0-0555-435e-af8f-db22d21cba13,29704519-3f17-4993-8fe2-0cf31177759f,2,249
ff9a70ec-9962-4378-9fab-011780499257,weekly.2.49,4ca0c736-8f47-4240-bb43-bec8a5b1f4c9,29704519-3f17-4993-8fe2-0cf31177759f,3,249
ff9a70ec-9962-4378-9fab-011780499257,weekly.2.49,af5be731-8daa-46e0-b4d8-a044efe51723,29704519-3f17-4993-8fe2-0cf31177759f,4,249
ff9a70ec-9962-4378-9fab-011780499257,weekly.2.49,3e7c2d50-5aec-48ba-9e3f-2135cdd5b2b0,29704519-3f17-4993-8fe2-0cf31177759f,5,249
ff9a70ec-9962-4378-9fab-011780499257,weekly.2.49,95d05163-a349-45dc-b11d-5346050f866b,29704519-3f17-4993-8fe2-0cf31177759f,6,249
ff9a70ec-9962-4378-9fab-011780499257,weekly.2.49,bfd57fe2-9b86-4a43-873c-5f108046c75f,29704519-3f17-4993-8fe2-0cf31177759f,7,249
ff9a70ec-9962-4378-9fab-011780499257,weekly.2.49,23ac8f45-351a-4822-a043-d9a283ac8586,29704519-3f17-4993-8fe2-0cf31177759f,8,249
ff9a70ec-9962-4378-9fab-011780499257,weekly.2.49,15623c7d-bb44-4d6a-a366-34e5dff55289,29704519-3f17-4993-8fe2-0cf31177759f,9,249
ff9a70ec-9962-4378-9fab-011780499257,weekly.2.49,6538e2df-3f9e-435e-9eb1-e16da7fdf132,29704519-3f17-4993-8fe2-0cf31177759f,10,249
ff9a70ec-9962-4378-9fab-011780499257,weekly.2.49,59cc7608-bb23-4988-8ada-ece30a454e4b,29704519-3f17-4993-8fe2-0cf31177759f,11,249
ff9a70ec-9962-4378-9fab-011780499257,weekly.2.49,b852fae6-e8d2-484d-9631-e474f34d65f8,29704519-3f17-4993-8fe2-0cf31177759f,12,249
ff9a70ec-9962-4378-9fab-011780499257,weekly.2.49,8e02321b-c24e-428a-9e3d-0affec44a756,29704519-3f17-4993-8fe2-0cf31177759f,13,249
ff9a70ec-9962-4378-9fab-011780499257,weekly.2.49,9491c15f-cc03-416d-bc03-83217ddbea5b,29704519-3f17-4993-8fe2-0cf31177759f,14,249
ff9a70ec-9962-4378-9fab-011780499257,weekly.2.49,971ca23f-bae2-497c-b68d-102e82d96a8d,29704519-3f17-4993-8fe2-0cf31177759f,15,0
ff9a70ec-9962-4378-9fab-011780499257,weekly.2.49,4f1824c2-1b83-4b5f-ab35-fe428ab364ac,29704519-3f17-4993-8fe2-0cf31177759f,16,249
ff9a70ec-9962-4378-9fab-011780499257,weekly.2.49,511add0a-dbe3-49b1-969f-966037179416,29704519-3f17-4993-8fe2-0cf31177759f,17,249
01dd96e5-f9e0-45b4-8709-1177bea383d8,monthly.9.99.3d.trial,2beb95df-4813-4ddf-a874-ca60a2cad63d,2beb95df-4813-4ddf-a874-ca60a2cad63d,0,0
01dd96e5-f9e0-45b4-8709-1177bea383d8,monthly.9.99.3d.trial,2b49924d-15f0-4b65-875d-124a9193e527,2beb95df-4813-4ddf-a874-ca60a2cad63d,1,0
0ecc4bb6-55d0-4921-8d35-06ad8f7bd501,weekly.2.49,2f7925a3-8ee6-4e56-9149-7a91580dc75d,2f7925a3-8ee6-4e56-9149-7a91580dc75d,0,0
0ecc4bb6-55d0-4921-8d35-06ad8f7bd501,weekly.2.49,b014aee5-7c9f-4a43-b9ef-6956e750cfee,2f7925a3-8ee6-4e56-9149-7a91580dc75d,1,0
